% Model:              CilindroCono.mph
% Version:            COMSOL 5.6.0.341
% Date:               May 31 2021, 23:43
% Dimension:          1
% Nodes:              120
% Expressions:        1
% Description:        Grafico a punti
% R                       Height
10                        59196.177519311525
20                        61513.08406717732
30                        65900.44410702719
40                        73379.72608862394
50                        86283.06168438263
60                        110824.4778494995
70                        170111.32734041932
80                        478566.70842786646
90                        411417.4318074571
100                       128243.99504638443
110                       70585.71280703548
120                       45972.14540004082
130                       32413.2624912944
140                       23868.828345411857
150                       18008.641099769917
160                       13743.70105431763
170                       10496.831516433243
180                       7933.1686686115845
190                       5844.358401615219
200                       4092.9695772550913
210                       2583.3694873924164
220                       1245.2817534177846
230                       36.274071975785
240                       1130.2511013986286
250                       2258.0358382403333
260                       3408.578672780471
270                       4640.094728452973
280                       6034.460234710896
290                       7722.458091484924
300                       9941.872070755047
310                       13195.356047444524
320                       18793.04786298736
330                       31631.732251738642
340                       99636.1160258835
350                       80845.66508082647
360                       27410.799522352412
370                       15785.993390896294
380                       10597.420418437887
390                       7599.738024875122
400                       5608.208753034507
410                       4160.585580637928
420                       3038.201825682867
430                       2123.244686601208
440                       1345.6788283438814
450                       660.5685328235035
460                       64.16595757130261
470                       563.7407712149029
480                       1142.0079491165554
490                       1730.318576672685
500                       2352.9016623225093
510                       3042.3542204706177
520                       3847.1324527510797
530                       4847.711325341893
540                       6194.631946825368
550                       8214.312765908357
560                       11784.912368117042
570                       20385.884951445405
580                       77587.88748758592
590                       39912.19417497609
600                       15065.149125772907
610                       8838.248847478917
620                       5941.165006683784
630                       4226.874006699702
640                       3066.590282731924
650                       2208.66995874118
660                       1532.1218099884723
670                       971.1200123347556
680                       487.3591835441044
690                       93.45047367867716
700                       377.98165051943926
710                       769.2200681155615
720                       1164.516896237961
730                       1576.6707496385452
740                       2023.9070653067006
750                       2531.9843909756987
760                       3141.027576008199
770                       3920.534023571343
780                       5006.478578830652
790                       6711.531357186734
800                       9960.041260254686
810                       19245.50213296154
820                       560086.0772409106
830                       19156.538646587946
840                       8879.548521586263
850                       5459.608326482491
860                       3709.0519965668655
870                       2618.462113276029
880                       1854.6435173182192
890                       1275.2438699780487
900                       809.2575291119762
910                       419.34773442698435
920                       123.98781594707624
930                       292.0328722431653
940                       587.3017078916365
950                       886.1674279473139
960                       1193.6568998831856
970                       1521.216713313098
980                       1884.778324701761
990                       2307.9316589429736
1000                      2829.1104405075916
1010                      3518.015136043211
1020                      4518.7118532687355
1030                      6189.086644866903
1040                      9753.800218524906
1050                      23889.97497756327
1060                      43684.861476221704
1070                      10550.911360618073
1080                      5616.343651710998
1090                      3580.9340122322865
1100                      2441.925722102057
1110                      1695.2942676344423
1120                      1154.635314575779
1130                      735.5227240456261
1140                      397.616954979868
1150                      156.64069043420835
1160                      246.7851930936318
1170                      478.5385624993657
1180                      717.8449046543799
1190                      961.7001567370248
1200                      1217.2152963726953
