% Model:              CONO3D.mph
% Version:            COMSOL 5.6.0.341
% Date:               Jun 4 2021, 16:08
% Dimension:          1
% Nodes:              221
% Expressions:        1
% Description:        Grafico tabella
%                         
100                       67.32010531064992
105                       77.21991166705905
110                       90.96967245299057
115                       109.08135332002607
120                       126.07184630624297
125                       132.2114021822595
130                       127.79148930935933
135                       114.13086196569017
140                       95.7761118242003
145                       72.97097054243322
150                       55.19524047974299
155                       42.81907985725409
160                       34.016228034323625
165                       27.505187115881547
170                       22.514058220954634
175                       18.571645115058274
180                       15.37896531472455
185                       12.738613419345306
190                       10.51548219268072
195                       8.614139392604061
200                       6.965288324119957
205                       5.517365664737609
210                       4.231153265788064
215                       3.0762214745207195
220                       2.02853079304424
225                       1.0688701899054387
230                       0.18519245108389437
235                       0.651757402886484
240                       1.4336547887087288
245                       2.179064836180193
250                       2.8964606136873243
255                       3.5940398385313763
260                       4.279680970728508
265                       4.961191511781912
270                       5.64659516146689
275                       6.344457775171354
280                       7.064278313252307
285                       7.816985599440627
290                       8.615602104830606
295                       9.476169885433588
300                       10.419092529568843
305                       11.474249094009853
310                       12.68659170377197
315                       14.101156155495273
320                       15.82746635113567
325                       17.96934810329604
330                       20.700016102953278
335                       24.33801064755693
340                       29.49644572867493
345                       37.31076377436336
350                       51.48528245517984
355                       81.35669708329404
360                       121.06781092535618
365                       103.36806833284928
370                       63.313599288538995
375                       40.102389988373695
380                       28.339424697601466
385                       21.400536130038663
390                       16.830705237528512
395                       13.585094144321673
400                       11.151434540309205
405                       9.250489445248695
410                       7.71740645496218
415                       6.448655326031653
420                       5.375930690192337
425                       4.452311325342846
430                       3.6444579378879443
435                       2.927989379582792
440                       2.284629642457418
445                       1.700401116610848
450                       1.1645172830068073
455                       0.6691230389398478
460                       0.21640209694004298
465                       0.25992013184322266
470                       0.6700227381169775
475                       1.071933689656154
480                       1.4632988456293223
485                       1.8470889201423206
490                       2.22671540708859
495                       2.6057035726042077
500                       2.9877268332347384
505                       3.376718812239451
510                       3.777026426677208
515                       4.193607687976777
520                       4.6322923655403345
525                       5.100136561860863
530                       5.605920846207442
535                       6.1608724918616184
540                       6.779746601834585
545                       7.482500247037543
550                       8.296984085165425
555                       9.263460158496915
560                       10.443515283728793
565                       12.05090211484129
570                       14.111707387688453
575                       16.828570603471007
580                       20.97843884466683
585                       28.039086364331254
590                       42.722078555056925
595                       82.29465207744825
600                       96.91316352463333
605                       49.45105963185184
610                       28.549035525497523
615                       19.367090762431808
620                       14.291459463526579
625                       11.068137328591519
630                       8.829180723082494
635                       7.175220135032111
640                       5.895984163354911
645                       4.871011622372814
650                       4.026251984504825
655                       3.313669723774907
660                       2.7007283920515412
665                       2.164600700322491
670                       1.6888206223453395
675                       1.2613123259402526
680                       0.8733862368878468
685                       0.5203160361621226
690                       0.21469426168908132
695                       0.20044250445235326
700                       0.4674783122844278
705                       0.7465417982723475
710                       1.0202319292730755
715                       1.288457265813633
720                       1.5529572905025752
725                       1.815857423098013
730                       2.0794353820864804
735                       2.346112611612704
740                       2.618513155143443
745                       2.8995580083750547
750                       3.192592896194409
755                       3.501559238598521
760                       3.831227405734272
765                       4.187523602383508
770                       4.578001293731995
775                       5.012541816444774
780                       5.504429753502308
785                       6.072063795852157
790                       6.741792629303367
795                       7.562273088231429
800                       8.691612770954755
805                       10.148508445190098
810                       11.939241145595732
815                       14.455673581793457
820                       18.761823429580904
825                       27.185211055031708
830                       48.909618466607874
835                       90.39123609228137
840                       45.07436758585359
845                       23.91095499297671
850                       15.57784378403209
855                       11.200347828340082
860                       8.511586225528625
865                       6.686627439946301
870                       5.36008710485605
875                       4.346422303096103
880                       3.5416888145764274
885                       2.8832104464415313
890                       2.3309866860338313
895                       1.8583351512810267
900                       1.4468740601525145
905                       1.0841808495243277
910                       0.7611146043057423
915                       0.4747797472220727
920                       0.24267363630041563
925                       0.20335390906102008
930                       0.3819654773691467
935                       0.594815043092371
940                       0.8077150486416773
945                       1.0166991501346594
950                       1.222036351297103
955                       1.4249457324073802
960                       1.6269381018928355
965                       1.8296617824857935
970                       2.0348857240214033
975                       2.244533423954486
980                       2.460745025478532
985                       2.6859643882561057
990                       2.9230565193260856
995                       3.175467326792249
1000                      3.4474457273188133
1005                      3.74436053037861
1010                      4.073165348259206
1015                      4.443101600390861
1020                      4.866797707960567
1025                      5.3628826413747355
1030                      6.005217961913368
1035                      6.839573801867474
1040                      7.899132893194131
1045                      9.154816995168273
1050                      10.785555226621774
1055                      13.352719440556776
1060                      18.12446604751692
1065                      28.54931103517785
1070                      59.697025407094515
1075                      55.51466771873088
1080                      25.257491255761767
1085                      15.15563255932338
1090                      10.402206980952977
1095                      7.675044963917913
1100                      5.904874803280014
1105                      4.657958737870196
1110                      3.727195717604342
1115                      3.001687222050877
1120                      2.4168532149985817
1125                      1.9326414047776714
1130                      1.5230323082865753
1135                      1.1706612742909122
1140                      0.8641427034011295
1145                      0.5975806331305412
1150                      0.37494021343774153
1155                      0.23607060479487785
1160                      0.27183192752482455
1165                      0.4187471105093252
1170                      0.5886058618371477
1175                      0.7602437075954469
1180                      0.9294964099009437
1185                      1.0959626943968919
1190                      1.2603087592647477
1195                      1.4235729936517276
1200                      1.5869612054076319
