% Model:              adattamento a studio.mph
% Version:            COMSOL 5.6.0.341
% Date:               Jun 5 2021, 14:43
% Dimension:          1
% Nodes:              381
% Expressions:        1
% Description:        Grafico a punti
% X                       Height
100                       11722.713912634734
105                       12021.097067982402
110                       12367.104627165667
115                       12772.080709614953
120                       13251.471195740858
125                       13826.857705828841
130                       14529.337550617634
135                       15405.417582088836
140                       16527.91199161014
145                       18017.6173856306
150                       20090.65279748405
155                       23175.63109790368
160                       28259.982249939672
165                       38240.7331715657
170                       66847.40026918058
175                       673236.8296929726
180                       59441.26350873773
185                       24708.054174506895
190                       13573.644161919223
195                       8068.309231160843
200                       4769.74105235717
205                       2560.6327104618354
210                       968.0332159499796
215                       249.58742254400732
220                       1207.486934531095
225                       1995.3881352044273
230                       2660.1373223079404
235                       3234.8897046721313
240                       3742.9219566960364
245                       4201.182222673288
250                       4622.467508189979
255                       5016.8034080928355
260                       5392.3569130889255
265                       5756.070307034695
270                       6114.12784017551
275                       6472.325778240255
280                       6836.394661872103
285                       7212.312422513963
290                       7606.644995212683
295                       8026.956581159621
300                       8482.346501756116
305                       8984.198662559866
310                       9547.283805640156
315                       10191.456604733545
320                       10944.388191829446
325                       11846.18161254586
330                       12957.606271705465
335                       14375.78547120285
340                       16266.632220908854
345                       18939.43806718623
350                       23045.221863900322
355                       30229.928721802113
360                       46210.58927306977
365                       113588.21189680348
370                       165184.88693393383
375                       43491.7914879417
380                       23195.85125701445
385                       14824.632612510224
390                       10231.92426956596
395                       7314.023380611836
400                       5283.759508979099
405                       3779.8811586785773
410                       2613.2616698198767
415                       1675.3435189661138
420                       899.8990618433954
425                       252.14087476820816
430                       348.9603110096639
435                       847.4663538676446
440                       1300.1802672191684
445                       1714.3022822506764
450                       2098.336484036503
455                       2459.4381507053513
460                       2803.6359160332167
465                       3136.158468331145
470                       3461.7151071142894
475                       3784.7335575827315
480                       4109.574339855628
485                       4440.742039882979
490                       4783.114902193313
495                       5142.21825041345
500                       5524.576181960623
505                       5938.192753747653
510                       6393.2442534838
515                       6903.1197440401465
520                       7486.052067474277
525                       8167.788896381956
530                       8986.18672015739
535                       9999.580043449017
540                       11303.137176533684
545                       13063.79498619768
550                       15604.165173349182
555                       19639.934333692516
560                       27141.95282853184
565                       46235.81321477617
570                       199035.43085129492
575                       73403.59495164799
580                       29026.912929180373
585                       17142.55270462336
590                       11597.714963800283
595                       8367.028759366814
600                       6237.314965439308
605                       4716.9050099762735
610                       3568.633229791179
615                       2664.000013148009
620                       1927.3615568469072
625                       1311.493592776036
630                       786.3384217754716
635                       338.9827707457257
640                       166.68578691163523
645                       491.73701237409995
650                       826.5399346066162
655                       1142.2472214132617
660                       1441.286625793373
665                       1727.562017570057
670                       2004.8532662116206
675                       2276.699008942209
680                       2546.485923921585
685                       2817.579181330005
690                       3093.4693502333553
695                       3377.9400915851943
700                       3675.2714572696527
705                       3990.5024892802344
710                       4329.789744735773
715                       4700.92038647618
720                       5114.077905698883
725                       5583.031993001454
730                       6127.067224928116
735                       6774.259781027723
740                       7567.358492222708
745                       8575.066419811421
750                       9915.567923089106
755                       11811.248645840287
760                       14736.560583208575
765                       19917.27121384672
770                       31793.62486408351
775                       88540.16655208594
780                       92675.69368072957
785                       28513.94825858163
790                       16037.536302337809
795                       10694.268668421484
800                       7705.472197018984
805                       5781.4297187506245
810                       4428.698131136941
815                       3417.709527107036
820                       2627.1684754716634
825                       1986.9917154510763
830                       1454.022231901378
835                       1000.7593221715215
840                       610.9273633374826
845                       288.09466064858253
850                       194.57854354638602
855                       421.5614232600219
860                       680.8355010263289
865                       932.9686550972965
870                       1176.1908629743962
875                       1412.4312181611017
880                       1644.217186973298
885                       1874.184578517917
890                       2105.0298204719334
895                       2339.575918613031
900                       2580.8855707044017
905                       2832.4126437308705
910                       3098.2031471333926
915                       3383.1706053983585
920                       3693.488361037896
925                       4037.170508190072
930                       4424.966030677881
935                       4871.792015234977
940                       5399.1367611773185
945                       6039.305207690368
950                       6843.405519124145
955                       7897.595689934513
960                       9359.64455364007
965                       11553.257162751323
970                       15264.713602433425
975                       23029.660308707247
980                       50094.43865608168
985                       185941.59637471082
990                       30442.09067266336
995                       15795.559119109292
1000                      10250.435473397923
1005                      7312.369612072165
1010                      5478.265394170634
1015                      4214.038812408672
1020                      3282.098920582816
1025                      2560.677876599224
1030                      1980.9722721073822
1035                      1501.3282202585826
1040                      1095.4751197986457
1045                      747.2963929057115
1050                      451.4415775321949
1055                      238.04086251511276
1060                      256.1738516754232
1065                      443.97993095388273
1070                      655.318862060341
1075                      865.5439409595033
1080                      1071.8926784508253
1085                      1275.2661394376769
1090                      1477.463985740672
1095                      1680.6061891329882
1100                      1887.025589471573
1105                      2099.3037917229112
1110                      2320.373935715787
1115                      2553.6779450370054
1120                      2803.3908858034956
1125                      3074.743969304359
1130                      3374.50290694324
1135                      3711.701182698798
1140                      4098.80816581313
1145                      4553.672478820429
1150                      5102.922545531467
1155                      5788.288580922942
1160                      6679.271740090743
1165                      7901.098491987446
1170                      9704.90234741093
1175                      12679.607677313708
1180                      18608.606930398797
1185                      36615.57768960067
1190                      863874.5420447198
1195                      32054.57578688114
1200                      15531.995785824944
1205                      9879.486996533344
1210                      7003.567732725603
1215                      5247.769570252569
1220                      4054.5444431451374
1225                      3183.591374845344
1230                      2514.3264978030115
1235                      1979.647692909435
1240                      1539.3931559327632
1245                      1168.4005185551348
1250                      850.9704651096781
1255                      579.4082125134846
1260                      359.89781289922854
1265                      244.8815510749783
1270                      311.55883787151583
1275                      470.32989349585375
1280                      648.0119503511612
1285                      828.2142580877006
1290                      1008.0048026454449
1295                      1187.6744464554858
1300                      1368.5348232474025
1305                      1552.3527274681849
1310                      1741.2178425170362
1315                      1937.563195572993
1320                      2144.265070964451
1325                      2364.8106279807384
1330                      2603.549197368629
1335                      2866.066873875655
1340                      3159.7575103524932
1345                      3494.722270868343
1350                      3885.2443711745454
1355                      4352.323164738765
1360                      4928.28087287703
1365                      5665.737506172262
1370                      6656.700072842289
1375                      8078.147885894584
1380                      10319.94515244963
1385                      14443.258901442594
1390                      24719.33377413239
1395                      98430.70959576988
1400                      45178.59467588921
1405                      17550.677832634596
1410                      10514.695433530911
1415                      7275.401400232052
1420                      5397.9573074803975
1425                      4162.720099231163
1430                      3281.0688982283764
1435                      2614.7512397736295
1440                      2089.2965955084173
1445                      1661.1567843141875
1450                      1303.4087329615716
1455                      999.0335946642548
1460                      737.9942503578511
1465                      517.5319767585601
1470                      349.1283328490044
1475                      276.77252035789246
1480                      334.59625607055557
1485                      463.4951952550807
1490                      614.020609992245
1495                      770.7412598271404
1500                      929.7325124296224
1505                      1090.5384611507864
1510                      1253.9626447076703
1515                      1421.4079800656277
1520                      1594.6870980955227
1525                      1776.0107481376233
1530                      1968.069521648666
1535                      2174.1914243604565
1540                      2398.5890892643347
1545                      2646.736505310551
1550                      2925.951332426934
1555                      3246.3226012819623
1560                      3622.24813737476
1565                      4075.1077881630977
1570                      4638.191186476132
1575                      5366.464587346859
1580                      6357.810271910096
1585                      7805.294328043696
1590                      10150.37634551808
1595                      14672.46396325236
1600                      27274.70512340344
1605                      274892.16194352723
1610                      31829.170209074488
1615                      14477.598998475038
1620                      9086.320206525854
1625                      6439.409370786457
1630                      4854.3185249435155
1635                      3790.471610097027
1640                      3020.971021490325
1645                      2433.9331434898745
1650                      1967.8805799247225
1655                      1586.363325943746
1660                      1266.6500493799333
1665                      994.3219159512479
1670                      760.8531957723741
1675                      563.4802318625462
1680                      408.5192495300854
1685                      319.3597066971876
1690                      325.6416350951072
1695                      409.78223316045717
1700                      529.6718263556596
1705                      663.2646306986248
1710                      802.801114440221
1715                      945.9973680073253
1720                      1092.6798174197859
1725                      1243.6320204276599
1730                      1400.1965919742659
1735                      1564.1625490056033
1740                      1737.7857161843897
1745                      1923.8961782068052
1750                      2126.0906757666917
1755                      2349.0358189192452
1760                      2598.9392321767555
1765                      2884.2958917058695
1770                      3217.1112109152464
1775                      3614.995636040486
1780                      4104.952046423146
1785                      4730.701097622456
1790                      5568.113007241203
1795                      6761.581685523618
1800                      8624.195222406854
1805                      11986.171615138133
1810                      20014.61902426097
1815                      65965.05492966287
1820                      46611.4902632645
1825                      16559.798066083156
1830                      9774.727982328555
1835                      6756.085585153555
1840                      5036.455321908905
1845                      3917.3692410066765
1850                      3125.010775307446
1855                      2530.1072618097505
1860                      2063.736932299936
1865                      1685.9038428421381
1870                      1371.9961236636402
1875                      1106.3781394765065
1880                      879.2810635955516
1885                      685.6025796973076
1890                      525.4173255654217
1895                      406.64508735245346
1900                      347.1641840493657
1905                      360.26093640727174
1910                      430.53339705066645
1915                      531.3735928342165
1920                      646.6685427668739
1925                      769.4970414597129
1930                      897.3465710547123
1935                      1029.6940818052637
1940                      1167.0127529283964
1945                      1310.3830989926355
1950                      1461.3651764574254
1955                      1622.0026526277022
1960                      1794.9155993143238
1965                      1983.4789070025308
1970                      2192.11045369438
