% Model:              adattamento a studio.mph
% Version:            COMSOL 5.6.0.341
% Date:               Jun 6 2021, 12:43
% Dimension:          1
% Nodes:              381
% Expressions:        1
% Description:        Grafico a punti
% X                       Height
100                       11930.250006159937
105                       12258.732772503456
110                       12642.966594281603
115                       13097.349764309454
120                       13641.939101707068
125                       14305.52898759527
130                       15130.989725337331
135                       16185.06889987262
140                       17577.71357586201
145                       19503.787231122114
150                       22344.711612454586
155                       26962.057531388415
160                       35800.0843497272
165                       59601.79553532164
170                       343454.9275187415
175                       65756.3548640958
180                       25384.98634054171
185                       13534.416103606403
190                       7849.928927449947
195                       4496.107667578921
200                       2270.3471867548137
205                       675.1757620815412
210                       538.383920014777
215                       1494.985839190932
220                       2279.5573555420847
225                       2941.65301951324
230                       3514.841895374224
235                       4022.6123014351515
240                       4482.060251664678
245                       4906.121843574705
250                       5304.983500008971
255                       5687.016576659668
260                       6059.431527036124
265                       6428.767821357667
270                       6801.294212938799
275                       7183.372946371026
280                       7581.8333395450545
285                       8004.401975809314
290                       8460.24908433162
295                       8960.737857155566
300                       9520.5156804751
305                       10159.18550855315
310                       10903.989676534857
315                       11794.336592639129
320                       12889.87029463785
325                       14285.835607004608
330                       16144.832995550907
335                       18769.80625790211
340                       22798.016550757206
345                       29839.2970346554
350                       45477.87570558012
355                       111221.61465105914
360                       165299.33885037393
365                       42682.287570584784
370                       22623.002203790376
375                       14368.221143409712
380                       9842.093597760972
385                       6966.359468085843
390                       4964.548474963718
395                       3480.6212609270674
400                       2328.2891450027987
405                       1400.745563944841
410                       633.6454555498148
415                       92.49964803047065
420                       604.04555834912
425                       1105.869206304847
430                       1560.0293360393944
435                       1976.7195550653694
440                       2364.7516203143873
445                       2731.4150022813446
450                       3082.8861453495097
455                       3424.5946853390415
460                       3761.5247596956665
465                       4098.474847057634
470                       4440.302037467641
475                       4792.176423528158
480                       5159.874285329658
485                       5550.147075429792
490                       5971.219897001514
495                       6433.50410891628
500                       6950.665887681773
505                       7541.301216233516
510                       8231.68330047836
515                       9060.500668617455
520                       10087.52104484094
525                       11410.605664837905
530                       13202.284490015118
535                       15798.374991724366
540                       19951.927611902578
545                       27774.668748329128
550                       48320.339516720305
555                       255093.1199318022
560                       66888.53722580789
565                       27627.652655519203
570                       16473.497206986136
575                       11167.595748056574
580                       8044.581065645088
585                       5972.349488283843
590                       4485.895386890023
595                       3358.9721029865527
600                       2468.2572949941737
605                       1740.8620824571128
610                       1131.2864293509197
615                       611.5094099533896
620                       188.02638052212953
625                       304.9758284937311
630                       662.7454735710332
635                       1002.8291064718691
640                       1322.6751086466704
645                       1626.39288109347
650                       1918.2686895478166
655                       2202.2816575302527
660                       2482.158231100251
665                       2761.5107447116047
670                       3043.995305111647
675                       3333.4859488697334
680                       3634.2780124026567
685                       3951.3428996352595
690                       4290.668140014078
695                       4659.736094101259
700                       5068.229300838306
705                       5529.114516844138
710                       6060.381101604446
715                       6687.960534875908
720                       7450.897041093023
725                       8411.107342936026
730                       9673.321739241814
735                       11430.223064042308
740                       14079.861894764044
745                       18599.530383831636
750                       28203.559224078646
755                       63301.50191961323
760                       175750.07900896078
765                       34166.88890021294
770                       17937.46116833537
775                       11634.800631719085
780                       8260.204528538969
785                       6141.793576416208
790                       4676.738964112044
795                       3594.4998759619584
800                       2755.575653065217
805                       2080.762713951676
810                       1521.8922415390803
815                       1048.454493667449
820                       642.0273291809075
825                       302.909760826622
830                       186.99768298304596
835                       419.0909011460743
840                       686.2469268136281
845                       945.2809834665653
850                       1194.5754448631328
855                       1436.2447261354553
860                       1672.9571747891127
865                       1907.4562753858986
870                       2142.5227869611454
875                       2381.047018542779
880                       2626.1458564395125
885                       2881.3164379422797
890                       3150.6378265177486
895                       3439.0454115687576
900                       3752.719880846785
905                       4099.660941306554
910                       4490.567196386735
915                       4940.241395922238
920                       5469.937280498926
925                       6111.486395269237
930                       6915.017859463673
935                       7964.550890047037
940                       9412.757442497334
945                       11569.492973357957
950                       15174.837104503127
955                       22544.032060649537
960                       46525.441808919575
965                       313675.64277006325
970                       33462.82800600338
975                       16816.093309994398
980                       10790.588164760382
985                       7656.843152846792
990                       5721.011138189884
995                       4395.84783826716
1000                      3423.8623236412377
1005                      2674.346362359601
1010                      2073.935392247432
1015                      1578.3997429665187
1020                      1159.8378909992423
1025                      800.8065422900178
1030                      493.755337896672
1035                      258.48017344481894
1040                      233.92959194735613
1045                      413.6666534788933
1050                      626.3335362516713
1055                      838.6364057301867
1060                      1046.7268335760416
1065                      1251.2882516963468
1070                      1454.042195630126
1075                      1657.0444296655826
1080                      1862.5433272426778
1085                      2072.998802722532
1090                      2291.1689491450093
1095                      2520.245701380027
1100                      2764.046853614744
1105                      3027.288413846094
1110                      3315.9810995026096
1115                      3638.0268630950677
1120                      4004.1496290090977
1125                      4429.407375790256
1130                      4935.764923269238
1135                      5556.717274670919
1140                      6346.1696771487395
1145                      7396.983859914089
1150                      8884.19651758667
1155                      11182.123579534711
1160                      15261.453924664178
1165                      24664.711375948624
1170                      70732.6133196007
1175                      70707.96606873997
1180                      22337.632246879508
1185                      12751.212642083558
1190                      8623.37751337529
1195                      6307.764234550302
1200                      4814.126718904279
1205                      3762.3902115346605
1210                      2975.4043610983326
1215                      2359.4851041850575
1220                      1860.5106752780835
1225                      1445.2042289009346
1230                      1092.3783332383862
1235                      788.9269114121956
1240                      529.529208352176
1245                      325.30227183562283
1250                      241.49156836869577
1255                      333.37982304880376
1260                      496.655522105681
1265                      673.5423354306511
1270                      851.8272115655005
1275                      1029.432415737797
1280                      1206.8225171595127
1285                      1385.3025379694416
1290                      1566.5678003750386
1295                      1752.6000700123607
1300                      1945.6902376809048
1305                      2148.528649974978
1310                      2364.35361102504
1315                      2597.1713140791326
1320                      2852.0797285357994
1325                      3135.755681093279
1330                      3457.2104206544623
1335                      3829.006137449734
1340                      4269.302020710467
1345                      4805.478465434919
1350                      5480.973741606847
1355                      6369.2365595046285
1360                      7605.255802993684
1365                      9467.375992186739
1370                      12636.85229724774
1375                      19341.333459616977
1380                      43503.69425871808
1385                      134614.8987812253
1390                      24995.383803474935
1395                      13268.411358445344
1400                      8751.498555449092
